Description,Product Code,Gender,Product Area,Product Type,Style,Short Web Description,Neckline/Collar,End Use,Fit,Heel Height,Fabric Type,Length,Pattern,Sleeve Length,Water Resistance,Main/Upper Comp,Lining Comp,Sole Comp,Washcare Label,Washing Instructions,Drying Instructions,Ironing Instructions,Range,Packing Format,Long Web Description,Height (cm),Width (cm),Depth (cm),Length (cm),Model Wears,Exclusive,Colour,Product Group,Crew Type,Design Colour,Size,SKU,Vat Code,Style Code,EAN,Supplier ID,Country of Origin,Commodity Code,Season,Phase,Style ID,Option ID,SKU ID,Price Level,Product Template,Age of Intake,Product Segment,Web Exclusive,Cost Price,Live Date,Volume (ml),Outfit 1,Outfit 2,Outfit 3,Outfit 4,Wiring,Padding,Dangerous Goods,Colour Group,Weight (kg),Discontinued,Eco Friendly,Web Length (cm),Model Height,Waistband Position,Toe Style,Heel Type,Fastening,Non-Returnable,High Value,Markdown,John Lewis Product Code,Product Created,Last Updated
PRINT CHINO SHORT,OMMG011_BISCOTTI,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5700: Shorts,BISCOTTI,XXXL,1191953,H,OMMG011,5054409660193,SRG APPARELL (USD),BGD,6203429000,OM SS20,Phase 3,500_5416,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:13
JERSEY CREW BRETON STRIPE,OMMC016_NAVYWHITE,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,NAVYWHITE,L,1192103,H,OMMC016,5054409664818,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_NAVYWHITE,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,NAVYWHITE,M,1192104,H,OMMC016,5054409664825,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_NAVYWHITE,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,NAVYWHITE,S,1192105,H,OMMC016,5054409664832,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:36
JERSEY CREW BRETON STRIPE,OMMC016_NAVYWHITE,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,NAVYWHITE,XL,1192106,H,OMMC016,5054409664849,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,4.69,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:36
JERSEY CREW BRETON STRIPE,OMMC016_NAVYWHITE,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,NAVYWHITE,XS,1192107,H,OMMC016,5054409664856,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_NAVYWHITE,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,NAVYWHITE,XXL,1192108,H,OMMC016,5054409664863,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_NAVYWHITE,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,NAVYWHITE,XXXL,1192109,H,OMMC016,5054409664870,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_ECRUNAVY,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,ECRUNAVY,L,1192110,H,OMMC016,5054409664955,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_ECRUNAVY,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,ECRUNAVY,M,1192111,H,OMMC016,5054409664962,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,4.69,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:36
JERSEY CREW BRETON STRIPE,OMMC016_ECRUNAVY,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,ECRUNAVY,S,1192112,H,OMMC016,5054409664979,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_ECRUNAVY,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,ECRUNAVY,XL,1192113,H,OMMC016,5054409664986,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:36
JERSEY CREW BRETON STRIPE,OMMC016_ECRUNAVY,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,ECRUNAVY,XS,1192114,H,OMMC016,5054409664993,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
JERSEY CREW BRETON STRIPE,OMMC016_ECRUNAVY,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,ECRUNAVY,XXL,1192115,H,OMMC016,5054409665006,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:36
JERSEY CREW BRETON STRIPE,OMMC016_ECRUNAVY,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,500: Menswear,5301: Crew Neck,ECRUNAVY,XXXL,1192116,H,OMMC016,5054409665013,Lumbini Limited,BGD,6110209100,OM SS20,Phase 1,500_5379,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:09:37
COLOUR BLOCK FLAT,WMR020_BLUES,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,BLUES,41,1192525,H,WMR020,5054409679812,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:58
COLOUR BLOCK FLAT,WMR020_BLUES,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,BLUES,37,1192526,H,WMR020,5054409679829,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_BLUES,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,BLUES,38,1192527,H,WMR020,5054409679836,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_BLUES,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,BLUES,39,1192528,H,WMR020,5054409679843,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,14.5,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:58
COLOUR BLOCK FLAT,WMR020_BLUES,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,BLUES,40,1192529,H,WMR020,5054409679850,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:57
COLOUR BLOCK FLAT,WMR020_LEOPARD,,,,,,,,,,,,,,,,,,,,,,Range test,,,,,,,,,,600: Womenswear,6650: Shoe,LEOPARD,41,1192530,H,WMR020,5054409679867,FOOT ON SHOES,IND,6403599900,SPRING SUMMER 2020,SS PHASE 2,600_10906,,,,,,,Web Exclusive Test,,,,,,,,,,,Colour Group Test,,True,Eco Friendly Test,,,,,,,,,,,,11/09/2023 16:06:58
