Column Name,Completeness (Absolute),Completeness (%),Top 5 Frequent Values
Lining Comp,6555,2.8596107788349543,"['100% Polyester', '100% cotton', 'Lining/sock Leather', 'LINING: 100% POLYESTER', '100% polyester']"
Model Height,6422,2.8015896905687376,"['5ft 9in', '5ft 8in', '5ft 10in', '6ft 1in', '5ft 9.5in']"
Length,5059,2.206982598036008,"['Mid', 'Long', 'Knee Length', 'Below the Knee', 'Short']"
John Lewis Product Code,4438,1.9360721031990122,"[77300367.0, 52060569.0, 52060550.0, 52060554.0, 52060551.0]"
Waistband Position,2411,1.051795818119157,"['Standard rise', 'Mid rise', 'High rise', 'Low rise']"
Height (cm),1546,0.6744406199967717,"[2.0, 2.5, 1.0, 3.5, 3.0]"
Sole Comp,1391,0.606822058483512,"['Outsole: Synthetic', 'Outsole Synthetic', 'Outsole; Synthetic\n', 'Outsole; Synthetic', 'Outsole; synthetic']"
Heel Height,817,0.3564152564924725,"['Flat', 'Low', 'Mid', 'High']"
Heel Type,409,0.1784257526382145,"['Flat', 'Flatform', 'Block heel', 'Wedge']"
Toe Style,391,0.17057327452699728,"['Rounded', 'Almond', 'Peep toe', 'Pointed', 'Square Toe']"
High Value,280,0.12214965950782414,"[False, True]"
Water Resistance,107,0.046678619883347074,"['Showerproof', 'Water Resistant']"
Wiring,105,0.045806122315434045,"['Not wired', 'Wired']"
Padding,105,0.045806122315434045,"['Not padded', 'Lightly padded']"
Width (cm),91,0.03969863934004284,"[20.0, 70.0, 57.0, 21.0, 58.0]"
Depth (cm),66,0.02879241974112997,"[6.0, 7.0, 10.0, 23.0, 1.0]"
Model Wears,28,0.01221496595078241,"['\n\n', '\n']"
Web Length (cm),10,0.004362487839565147,[4.5]
Product Segment,0,0.0,[]
Outfit 1,0,0.0,[]
Age of Intake,0,0.0,[]
Product Template,0,0.0,[]
Weight (kg),0,0.0,[]
Dangerous Goods,0,0.0,[]
Price Level,0,0.0,[]
Non-Returnable,0,0.0,[]
Outfit 4,0,0.0,[]
Outfit 3,0,0.0,[]
Exclusive,0,0.0,[]
Outfit 2,0,0.0,[]
Volume (ml),0,0.0,[]
