Date,Site Hierarchy,Distribution Channel,EAN,UPC,Article Variant,Full / Reduced Price,Sales (Units),Sales Revenue Inc Vat
7/29/2023,E-Commerce (4501),DIRECT,5059595759287,24386159,000000022562738005,Full Price,-1.00,-79.00
7/29/2023,E-Commerce (4501),DIRECT,5059595761242,24602471,000000022559855003,Reduced,2.00,116.00
7/29/2023,E-Commerce (4501),DIRECT,5059595762874,24618519,000000022560064004,Reduced,1.00,46.00
7/29/2023,E-Commerce (4501),DIRECT,5059595762898,24618618,000000022560064006,Reduced,1.00,46.00
7/29/2023,E-Commerce (4501),DIRECT,5059595763062,24381888,000000022562729003,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595763093,24382137,000000022562729005,Full Price,1.00,55.00
7/29/2023,E-Commerce (4501),DIRECT,5059595765424,24386722,000000022562727006,Full Price,1.00,49.00
7/29/2023,E-Commerce (4501),DIRECT,5059595765714,24605724,000000022560824002,Reduced,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595765721,24605748,000000022560824004,Reduced,-1.00,-40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595768753,24627511,000000022560110004,Reduced,1.00,37.00
7/29/2023,E-Commerce (4501),DIRECT,5059595771456,24003131,000000022565064006,Full Price,2.00,80.00
7/29/2023,E-Commerce (4501),DIRECT,5059595771661,24623933,000000022560283006,Full Price,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595772156,24628532,000000022560284006,Full Price,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595772316,24615815,000000022560280004,Full Price,0.00,0.00
7/29/2023,E-Commerce (4501),DIRECT,5059595772385,24385305,000000022562817004,Full Price,1.00,40.00
7/29/2023,E-Commerce (4501),DIRECT,5059595772781,24381659,000000022562835006,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595772804,24385442,000000022562828004,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595772842,24385411,000000022562828001,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595773443,24382724,000000022562826003,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595773504,24381765,000000022562834004,Full Price,1.00,25.00
7/29/2023,E-Commerce (4501),DIRECT,5059595776246,24618182,000000022560066004,Reduced,1.00,73.00
7/29/2023,E-Commerce (4501),DIRECT,5059595776253,24617840,000000022560066005,Reduced,1.00,73.00
7/29/2023,E-Commerce (4501),DIRECT,5059595776673,24617536,000000022560065003,Reduced,1.00,38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595776673,24617536,000000022560065003,Reduced,-1.00,-38.00
7/29/2023,E-Commerce (4501),DIRECT,5059595776703,24617741,000000022560065005,Reduced,0.00,0.00
7/29/2023,E-Commerce (4501),DIRECT,5059595779841,24629782,000000022560155004,Reduced,1.00,27.00
7/29/2023,E-Commerce (4501),DIRECT,5059595780922,24008815,000000022565109005,Full Price,1.00,22.00
